dataset,oscr,auroc,eer,rank1,accuracy
mmcbnu,0.9945152116402116,0.9974003527336861,1.5714285714285743,0.996031746031746,0.9833333333333333
fyo,0.9745517249868697,0.9857632506127451,4.942445728291318,0.9847689075630253,0.9587710084033614
dorsal,0.9225784869669783,0.9250822300555275,13.351331596383053,0.996309963099631,0.966789667896679
utfvp,0.7576366194625999,0.7895885205934225,31.54178338001867,0.9150326797385621,0.8464052287581699
