k,oscr,auroc,eer,rank1
1,0.9919955908289242,0.9954880952380953,1.7619047619047645,0.9944444444444445
3,0.8848209877,0.8888866843,18.8214285714,0.9936507937
5,0.7949082892,0.7990868607,27.3571428571,0.9936507937
