model,oscr,auroc,eer,rank1,accuracy,query_time_per_sample_ms
resnet50_cbam,0.9945152116402116,0.9974003527336861,1.5714285714285743,0.996031746031746,0.9833333333333333,1.7685339310458468
attention_unet,0.9893829365079365,0.994621693121693,2.6825396825396837,0.9928571428571429,0.9626984126984127,2.463076705228654
simple_cnn,0.9867264109347443,0.9926635802469136,2.845238095238096,0.9920634920634921,0.9746031746031746,1.5907493624183273
unet_embedding,0.6314153439153438,0.7768891093474427,29.607142857142854,0.7515873015873016,0.5317460317460317,2.6716598575163824
